,song_id,song_name,artist_1,artist_2,artist_3,release_date,popularity,duration_ms,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,key,valence,tempo,time_signature,mode
110049,4BEy9qPMYPBxtjV0NnTZB3,Razor Love,Neil Young,,,2000-04-25,54,391160,0,0.567,0.309,-14.102,0.0346,0.71,0.00676,0.101,7,0.35,126.351,4,1
110090,7qtAgn9mwxygsPOsUDVRRt,Survivor,Destiny's Child,,,2001-01-01,66,254040,0,0.524,0.904,-2.071,0.398,0.0533,0.0,0.776,8,0.655,161.188,4,1
110122,0BJiDmRwsLpSy5s7cwHVWp,Levels - Radio Edit,Avicii,,,2020-10-23,9,201920,0,0.579,0.887,-5.961,0.0334,0.0484,0.828,0.294,1,0.472,126.041,4,0
110125,1uowXugBjFNqfFufJerm33,Wake Me Up - Radio Edit,Avicii,,,2020-09-25,7,246813,0,0.524,0.807,-4.16,0.0579,0.00415,0.000834,0.212,2,0.62,124.127,4,1
110130,5tjS2GF0g5CuuiCqv0pu8s,Melody of Spring,Tai Chi And Qigong,Lu Xuna Qian,Shao Kar Wai,2021-01-20,1,215705,0,0.592,0.539,-12.79,0.0279,0.000599,0.00307,0.139,4,0.295,119.967,4,0
110171,1o5KqL0gy772LVouYWL1DV,Just My Imagination (Running Away With Me) - Single Version / Mono,The Temptations,,,2021-01-22,3,228400,0,0.428,0.299,-13.0,0.0254,0.878,0.0138,0.173,0,0.425,92.266,4,1
110319,20SVrtejK7y780GIfjiG4O,I Call You Faithful - (Album Version),Donnie McClurkin,,,2001-01-01,37,325667,0,0.29,0.91,-2.851,0.085,0.0594,0.0,0.458,8,0.512,144.838,3,1
110390,72Oh7sKJUEINkQnoPO4kHS,Talkin' To Me (Edit),Amerie,,,2002-07-30,55,234707,0,0.744,0.406,-6.378,0.0722,0.113,0.0,0.0316,8,0.725,89.942,4,0
110391,7HqOHhU1BkKnWJc6u57cHr,Come a Little Closer,Brandy,,,2002-02-25,37,275733,0,0.555,0.578,-6.919,0.0338,0.201,3.42e-05,0.113,11,0.417,80.885,4,1
110394,3zSGtdgRCd5a098UzKZ7Ec,Roll Wit Me,Boyz II Men,,,2002-06-11,53,211840,0,0.891,0.558,-3.036,0.067,0.00129,0.0,0.0287,8,0.747,101.952,4,0
110411,6f9UrlZZypSx0rs2R82MBA,Many Faces,Jonathan Butler,,,2002-06-18,33,306840,0,0.715,0.445,-11.074,0.0376,0.0534,0.309,0.0701,6,0.553,83.655,4,0
110441,5S6XqiyVSF0OU96LOw9UXP,Hoping (Herbert's High Dub),Louie Austen,,,2002-07-26,49,396413,0,0.932,0.479,-8.235,0.0519,0.0919,0.0539,0.0905,4,0.968,124.016,4,0
110445,0qL80of5opVYHojkl2zuIR,Love Wouldn't Count Me Out,Brandy,,,2002-02-25,26,259307,0,0.311,0.524,-6.387,0.0347,0.43,0.0,0.214,1,0.166,86.274,4,0
110515,5JOrWjFDzatQ1ycDJ3Tybu,Good Man,RL,,,2002-01-14,37,237893,0,0.733,0.526,-5.825,0.0407,0.323,0.0,0.181,0,0.373,120.013,4,1
110561,75OrTolKEnimJj625JUIft,Run Free,Hans Zimmer,,,2002-05-04,54,381200,0,0.219,0.578,-12.249,0.0615,0.0293,0.927,0.108,7,0.174,135.061,4,1
110642,3TkNsftUBh8dwwLUHpmYNC,Find A Way,Dwele,,,2003-01-01,51,249573,0,0.712,0.657,-5.888,0.149,0.0577,0.0,0.234,10,0.437,97.993,4,0
110672,4gqNfAb7IJfMaQmy01ysWd,Come Down,Mthunzi Namba,,,2003-01-01,21,171427,0,0.637,0.834,-9.179,0.0557,0.0438,0.000831,0.23,9,0.826,113.474,4,1
110739,3pAiTAdDCvqWECwRmUlxvi,Medley,Luther Vandross,,,2003-10-14,40,769427,0,0.394,0.305,-12.388,0.0363,0.636,9.73e-06,0.975,6,0.118,101.486,4,1
110826,3rx1TO3ayFZTKvgMkuECIz,Punta,Luna Minds,,,2018-11-30,0,169877,0,0.617,0.625,-8.792,0.0441,0.0481,0.858,0.0686,9,0.0952,100.041,4,1
110828,4C8SYzeXeV13Ee3xPu8uvy,House Act,Dm Moon,,,2018-11-30,0,213480,0,0.807,0.57,-13.694,0.129,0.0017,0.887,0.0949,5,0.397,122.53,4,0
110855,2TpBi6e9YZwx6WhOMoodQ6,Fine Again,Seether,,,2004-06-08,27,244000,1,0.419,0.868,-3.21,0.0339,0.00711,2.82e-06,0.283,6,0.444,175.93,4,0
110932,6w9NCHHq90Gatv8UvNcINC,Siyayi Dudula,Soul Brothers,,,2004-04-16,22,217600,0,0.718,0.723,-13.348,0.0311,0.0174,0.147,0.274,10,0.883,101.607,4,1
110988,4c2wdAMuL7KkGVeyRqmYQu,The Weekend - Radio Edit,Michael Gray,,,2004-10-04,48,192173,0,0.686,0.832,-5.673,0.0725,0.000321,0.127,0.583,4,0.884,127.023,4,0
111036,3tQ6LmYZeoJ4dwkZ3IGoSj,The Clincher,Chevelle,,,2004-09-21,55,223773,0,0.263,0.939,-4.648,0.0834,7.66e-05,0.000364,0.374,1,0.408,175.293,4,1
111097,15ka2n1uB5K1AIBw8sM3Le,"Easy (Live At Shepherds Bush Empire, 29th November 2004)",The Beta Band,,,2013-01-01,4,161667,0,0.502,0.908,-5.956,0.0441,0.0424,0.0367,0.965,2,0.816,83.039,4,1
111156,6j5Swqhcc12eHvPQc6uaQS,Naked,Marques Houston,,,2005-05-05,45,266533,0,0.752,0.514,-6.507,0.268,0.0889,8.98e-06,0.0987,9,0.409,59.985,4,1
111161,7jdzEA44GdSp4laVCF3Ztw,Best Friend,50 Cent,,,2005-01-01,67,251547,1,0.549,0.636,-3.923,0.376,0.395,0.0,0.0974,10,0.661,182.363,4,0
111164,5VkuqayHiiU5ZHyYEH4Oeb,Dear Summer,Memphis Bleek,JAY-Z,,2005-01-01,59,173200,1,0.548,0.893,-4.403,0.602,0.0838,0.0,0.0842,6,0.667,172.241,4,0
111278,0Rv1ICkeAao0Yx85xpJ29k,All Night Long (feat. P. Diddy),Faith Evans,Diddy,,2005-10-04,40,259307,0,0.713,0.779,-4.726,0.238,0.00946,0.0,0.0805,11,0.725,100.404,4,0
111334,6Cl90cl4efMaG05Xm4LjDN,Music,Leela James,,,2005-01-01,51,245426,0,0.778,0.636,-6.539,0.129,0.501,4.25e-05,0.106,1,0.52,98.008,4,1
111363,5bPG78cBTCAQefF12VGm3N,Agter Elke Man,Steve Hofmeyr,,,2006-01-01,34,212600,0,0.566,0.531,-8.881,0.0333,0.487,2.01e-05,0.108,2,0.225,78.99,4,1
111460,756qUG1HHyJbAMXyCEQmYF,Celebrate Life,Lucky Dube,,,2006-03-17,35,326053,0,0.902,0.513,-10.629,0.0505,0.0825,0.0,0.0667,2,0.586,125.053,4,1
111495,2R4KCSHfWuYiCMSu9f0nuc,Conceited (There's Something About Remy),Remy Ma,,,2006-01-01,58,219560,1,0.704,0.568,-7.786,0.51,0.216,0.0,0.184,11,0.586,123.855,5,1
111554,3XMGaHf8CDL0eljIyNY8Jx,Uyingcwele - Live From South Africa / 2001,Rebecca Malope,,,2006-01-01,20,254253,0,0.602,0.857,-2.613,0.116,0.114,0.0,0.245,7,0.634,127.653,4,1
111570,6Rlf0CM4DEKOyxsxeVMq6w,Me & U (Remix) [feat. P. Diddy & Yung Joc],Cassie,Diddy,Yung Joc,2006-08-14,50,287417,0,0.819,0.506,-4.965,0.0479,0.376,0.0,0.0908,1,0.608,99.971,4,1
111593,538hPQNtP190KcS3ZnWY5M,Let It Go,Keyshia Cole,Missy Elliott,Lil' Kim,2007-01-01,62,238360,0,0.808,0.721,-5.165,0.213,0.197,0.0,0.205,1,0.773,94.955,4,1
111748,48ncRBVLgiu8MY7O70VVw5,Ladies And Gentlemen,Saliva,,,2007-01-01,63,217240,0,0.459,0.908,-4.937,0.046,0.000101,0.202,0.145,6,0.495,80.093,4,1
111821,3t4p9vIhemAhCMr6hfL2pa,Billie Jean,Chris Cornell,,,2007-01-01,56,281373,0,0.52,0.619,-4.85,0.0427,0.591,3.55e-05,0.121,4,0.367,137.882,3,0
112009,7t00jJDygiHzPabOYS6AGb,All Summer Long,Kid Rock,,,2008-06-16,51,296960,0,0.702,0.875,-3.588,0.0283,0.014,0.0,0.0872,7,0.905,103.002,4,1
112107,0ai1zy0WakkZXqVZ3UFlKI,Ndiyagodola,Ringo Madlingozi,,,2009-01-01,33,114693,0,0.526,0.777,-7.747,0.0462,0.167,0.0,0.791,7,0.583,94.324,4,1
112153,1Ne9ZxBhUGwRVLHxzr7SnD,Energy,Keri Hilson,,,2009-01-01,48,209840,0,0.427,0.767,-5.783,0.143,0.0788,0.0,0.095,6,0.651,76.711,4,1
112154,4WcEodkrU0V4LQaKpmMUjI,Kouevuur,Theuns Jordaan,,,2009-06-15,28,178360,0,0.794,0.545,-9.158,0.029,0.748,6.99e-06,0.12,7,0.474,111.98,4,1
112244,1UZkxF7emfiSwLOdVWMJ1p,Ou est ma tete?,Pink Martini,,,2009-10-30,22,252653,0,0.764,0.463,-7.668,0.0327,0.688,5.88e-05,0.0775,7,0.728,109.051,4,1
112256,0mzS9GDkPCIX0Zyce3kbcG,Dink Aan My,Andriette,,,2009-10-09,23,240453,0,0.765,0.731,-6.354,0.0327,0.0629,4.12e-06,0.111,5,0.546,130.024,4,1
112281,42ZbAxRiw1Hw8KesSvWwML,Maybe,Jay Sean,,,2009-02-15,42,201720,0,0.769,0.614,-5.291,0.059,0.0501,0.0,0.075,11,0.903,110.961,4,0
112282,5x2TDyeeTpf0riUoQDrvsV,Ride Wit Me,Nelly,City Spud,,2009-01-01,58,291933,1,0.85,0.707,-6.507,0.0482,0.0638,2.58e-06,0.252,7,0.725,101.868,4,1
112288,7nm8w9dMwTjlWDosdnxBSn,Video Killed The Radio Star - Single Version,The Buggles,,,2009-01-01,60,197907,0,0.742,0.788,-10.803,0.0669,0.0862,0.00768,0.292,1,0.514,130.849,4,1
112303,3maCmHhpmJ6hzJjEnm0ieT,I Never Told You,Colbie Caillat,,,2009-01-01,53,232960,0,0.498,0.634,-5.214,0.0288,0.166,0.0,0.3,3,0.36,144.104,4,1
112519,7gWSWDBriMK7YKefAe4NMP,Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Swedish House Mafia,Tinie Tempah,,2010-01-01,57,206461,1,0.736,0.929,-5.89,0.0674,0.00237,1.11e-05,0.402,7,0.658,125.03,4,0
112613,4JXcHzgsf9vhKKWDF0Tbv9,Lay With You,El DeBarge,Faith Evans,,2010-01-01,37,221760,0,0.436,0.682,-5.356,0.116,0.0809,0.0,0.052,7,0.527,203.915,4,0
112634,3ihp0qYSN89GBnrgF6GhRh,Either Way,Beta Radio,,,2010-01-01,56,135560,0,0.651,0.621,-7.271,0.0359,0.637,0.000122,0.0712,8,0.914,77.578,4,1
112636,1Ur9I61TLlJJDl6cSeAlXp,Shake You Down - Single Version,Gregory Abbott,,,2010-02-26,45,244840,0,0.78,0.376,-13.874,0.0266,0.46,0.0,0.0924,11,0.828,94.636,4,0
112668,23vA0eA8kepqP6qS3S3y9a,La Vida,Mi Casa,,,2011-09-19,41,394678,0,0.823,0.551,-9.836,0.103,0.0126,0.102,0.0807,3,0.807,124.017,4,0
112795,7ElubRMx2BOtOOtzoPLPSC,I Smile,Kirk Franklin,,,2011-03-18,40,307973,0,0.745,0.753,-2.408,0.164,0.223,0.0,0.705,1,0.589,144.057,4,1
112858,3bfqkspKABT4pPicm6wC9F,Ass Back Home (feat. Neon Hitch),Gym Class Heroes,Neon Hitch,,2011-11-11,65,222213,1,0.716,0.838,-4.289,0.0513,0.134,0.0,0.148,10,0.646,130.034,4,1
112900,13cZuZKQT5X7u7vFeLQGnT,Sal Jy Bly,Theuns Jordaan,,,2012-03-17,42,228440,0,0.742,0.786,-6.027,0.0459,0.0894,0.0,0.11,2,0.596,127.051,4,1
113131,28GUjBGqZVcAV4PHSYzkj2,So Good,B.o.B,,,2012-04-27,66,213253,0,0.66,0.9,-5.02,0.14,0.0403,0.0,0.219,7,0.591,85.51,4,1
113150,4mCkOq7cnthUC1aXpInld2,Invasion [ASOT 593] - Club Mix,W&W,,,2012-12-27,1,59984,0,0.496,0.925,-8.351,0.271,0.00292,0.931,0.228,7,0.171,131.988,4,0
113169,0ndpJtfKGuGM3pyNwnwSUx,See No Evil,The Game,Kendrick Lamar,Tank,2012-01-01,49,284293,1,0.489,0.44,-9.24,0.283,0.558,0.0,0.151,9,0.0749,156.807,4,1
113223,2gXwMixw0voLNVxPr4Ja6v,I Need A Miracle,Third Day,,,2012-11-02,55,222547,0,0.401,0.698,-6.321,0.0393,0.0231,0.0,0.149,4,0.347,166.373,4,1
113272,4fmOEFGlkHK1zo39TN5sc1,Deep In - Original Mix,Leftwing : Kody,,,2013-12-24,1,405897,0,0.731,0.857,-7.902,0.0416,0.000127,0.809,0.108,0,0.592,122.998,4,0
113278,4EYr6IaJV1HDTWprOHJ7Xb,Trek Toe,Juan Boucher,,,2013-04-05,33,198440,0,0.718,0.959,-3.166,0.0522,0.0878,0.0,0.297,11,0.859,135.017,4,1
113288,4wukZ9rbUo8pFuMADxXPeN,Botterbekkie,Juan Boucher,,,2013-04-05,32,190960,0,0.822,0.765,-4.564,0.0524,0.118,0.0,0.24,7,0.886,146.009,4,1
113336,1HnhCD1u0c4dHSMazmWGyM,Wu-Tang Forever,Drake,,,2013-01-01,54,217600,1,0.855,0.433,-8.447,0.15,0.0414,0.0,0.1,1,0.394,99.975,4,0
113459,0sPPjgqVXD58wnhwQBHLsF,YHWH (Yahweh),We Will Worship,,,2013-08-14,33,343898,0,0.565,0.459,-10.604,0.0473,0.372,2.09e-06,0.126,4,0.0946,75.02,4,1
113477,3SB1BOaRlpudI2OelJnMMx,Noba Ngumama,Nathi,,,2013-05-31,24,270013,0,0.358,0.348,-6.428,0.0332,0.472,0.0,0.0986,7,0.348,83.958,3,1
113556,5j4gavqmvlyt7dS6AefGLD,Dark Horse (Make Me Your Aphrodite),Star of Copenhagen,,,2014-03-25,4,215528,0,0.631,0.587,-6.181,0.0344,0.0707,1.16e-06,0.0993,6,0.317,131.93,4,1
113598,2zuOiLM3QGT5DpO4fJwOEo,Run Jozi (Godly) (feat. K.O),AKA,K.O,,2014-07-07,33,234693,1,0.494,0.935,-3.163,0.259,0.204,0.0,0.181,4,0.35,130.084,4,1
113614,1VCprxhHojehl3eguxH0jK,Bravery - Original Mix,SoundLift,,,2015-02-02,3,464347,0,0.488,0.977,-4.756,0.059,0.000136,0.835,0.141,1,0.217,138.005,4,0
113703,59oBTOQ2aidtB5RRbfLdRz,Pluto - Live,Beatenberg,,,2014-01-01,40,352493,0,0.708,0.609,-12.472,0.049,0.535,0.209,0.102,9,0.385,125.969,4,0
113767,4SvlJhLDqCH6gKlztuev4F,Thapelo,Sechaba,,,2014-03-24,25,218267,0,0.233,0.361,-6.014,0.0289,0.896,0.0,0.107,2,0.156,153.194,3,1
113769,622AXnliXPvpugkBVsp7ik,Slacks,St. South,,,2014-08-08,54,206635,1,0.737,0.528,-9.583,0.0981,0.767,4.92e-06,0.0782,3,0.332,126.006,4,0
113777,5B0ibk0qk9ees6wvlzMsZe,Listen to the Man,George Ezra,,,2014-06-30,61,183680,0,0.599,0.551,-5.937,0.0317,0.503,0.0,0.0875,9,0.538,121.122,4,1
113870,7a4ilT56YQ8oQPVHXS6Yz8,Don't Lose Your Mind - 2015 Remaster,Miles Davis,,,2002-08-20,6,350627,0,0.629,0.614,-10.762,0.0419,0.00449,0.211,0.109,9,0.76,143.279,4,0
113899,7gricPHxqsVEq1Lml7BFVu,Made A Way,Travis Greene,,,2015-10-30,54,591333,0,0.509,0.683,-6.422,0.0419,0.0855,1.6e-06,0.116,11,0.27,76.907,4,1
113954,44aN5xKL3kGHvQ5bXVk6B8,Ghost Town,Adam Lambert,,,2015-06-11,67,208330,1,0.703,0.736,-5.709,0.046,0.186,1.92e-05,0.174,4,0.274,119.955,4,0
113999,6NdG17SJBXKJeYS67f7E74,I Miss You,Adele,,,2015-11-20,60,348625,0,0.376,0.558,-5.083,0.0486,0.00828,1.14e-05,0.461,5,0.148,113.05,4,1
114016,4TSDz7xZtxIXeKwiOuCe25,Me U & Hennessy (feat. Lil Wayne),DeJ Loaf,Lil Wayne,,2015-04-20,60,224972,1,0.417,0.551,-8.361,0.272,0.56,0.0,0.129,2,0.216,86.848,4,1
114021,3DW0GlFNrLAsnSWZ1kVVVe,"Time After Time - Live at Chicago Theatre - JVC Jazz Festival Chicago, IL 6/9/89; 2015 Remaster",Miles Davis,,,2002-08-20,8,598800,0,0.451,0.128,-17.576,0.0381,0.766,0.21,0.978,0,0.295,116.372,4,1
114207,0UE0RhnRaEYsiYgXpyLoZc,Hallucinations,dvsn,,,2016-03-27,61,246294,0,0.765,0.398,-8.993,0.037,0.0681,8.48e-06,0.14,7,0.348,95.976,4,0
114274,03L2AoiRbWhvt7BDMx1jUB,U With Me?,Drake,,,2016-05-06,62,297373,1,0.429,0.43,-11.373,0.165,0.338,1.18e-05,0.138,2,0.125,174.983,4,1
114298,5irqvOUbWsUefjZ8KPSQ66,Luving U,6LACK,,,2016-11-18,64,252893,1,0.723,0.471,-9.506,0.122,0.0886,0.000881,0.112,10,0.135,121.962,4,1
114307,2jGjNCH6Op0BqBHPc4Rd8d,Lovely,Brent Faiyaz,,,2016-09-20,61,291098,0,0.385,0.473,-8.656,0.0519,0.575,2.88e-05,0.13,8,0.0575,143.614,3,0
114365,2PdhB8r9ZL3CibAcyubPrJ,Boholo Ba Hao (Live),Lebo Sekgobela,,,2016-07-01,29,218733,0,0.254,0.495,-4.043,0.0353,0.734,1.9e-06,0.396,11,0.245,88.435,4,1
114443,4JLI9AgtAXutJvjlXgZBoR,French Inhale,[bsd.u],,,2016-12-02,66,108078,0,0.87,0.146,-11.877,0.22,0.499,0.941,0.105,8,0.889,80.087,4,0
114589,5uwCM3ggK3z2hV71R2gODy,Move,Timo Odv,,,2017-09-08,38,203220,0,0.69,0.639,-8.65,0.0617,0.268,0.723,0.124,1,0.0858,124.048,4,0
114603,3QgqMVZdqHdY8e7r7IUBww,Peace Be Still - Live,The Belonging Co,Lauren Daigle,,2017-09-08,62,486945,0,0.424,0.583,-6.864,0.0285,0.00227,0.0,0.115,9,0.0711,144.977,4,1
114679,0tleL9lf1pvOZoYoQGTCQZ,Wraith,DRYM,,,2017-12-15,7,194125,0,0.286,0.959,-5.143,0.0709,0.000985,0.867,0.314,7,0.0932,103.529,3,1
114718,3ojTJaonfkL96iIWa47SU3,Questions,Chris Brown,,,2017-10-31,67,129478,0,0.614,0.598,-6.335,0.0561,0.00543,0.0,0.1,10,0.565,105.803,4,0
114733,5zwYqA4ZCdOycxboYpmf1g,1000 Sterne - Talla 2XLC Uplifting Rework,Neelix,Talla 2XLC,,2017-12-15,8,213913,0,0.467,0.978,-5.743,0.0642,0.000346,0.511,0.204,7,0.612,137.955,4,1
114737,1H7PxHKIIplryJ6AvCX0KT,Melbourne - DRYM Remix,David Gravell,DRYM,,2017-12-15,7,208235,0,0.465,0.98,-6.027,0.0776,0.000581,0.964,0.818,10,0.187,135.966,4,0
114863,0e0bl5Nsl9IHkFIUBC4Q2G,Die Kaplyn,Bok Van Blerk,South African Youth Choir,,2018-07-20,37,280827,0,0.537,0.583,-5.985,0.0294,0.446,0.0,0.133,5,0.472,176.102,4,1
114925,1meW3fs5CJdK7MNv4Shl1D,Strings And Bling,Nasty C,,,2018-07-06,39,224065,1,0.752,0.557,-5.526,0.0543,0.0499,0.0,0.616,5,0.381,140.076,4,0
115146,4SeHsQDcmyM48Wl98e2Ccq,Crashing Over (FSOE 631) - #2,Factor B,Cat Martin,,2020-01-02,0,315000,0,0.41,0.847,-7.724,0.154,0.00612,0.00356,0.357,0,0.142,139.968,4,0
115156,7uttm8Iurm5uK67Vr9G2Sp,Almost (Sweet Music),Hozier,,,2019-03-01,68,217480,0,0.523,0.687,-5.601,0.105,0.0215,2.86e-06,0.203,7,0.711,90.036,4,1
115277,5yMMoh2Qctqaxwh8kBt7Pz,Stellenbosch,Jan Bloukaas,,,2019-11-01,35,183512,0,0.946,0.875,-6.576,0.0799,0.116,0.000458,0.329,11,0.742,124.987,4,1
115317,6oizwmD5yHvlQUw0xvirrY,There Was Jesus,Zach Williams,Dolly Parton,,2019-10-04,65,223348,0,0.495,0.695,-6.331,0.0374,0.4,0.0,0.088,8,0.473,153.882,4,1
115348,5MYAArfzgqwgyhR6XFRwGq,Mang' Dakiwe,Dj Obza,Leon Lee,,2020-12-04,46,411952,0,0.886,0.667,-7.256,0.0476,0.0257,0.0272,0.312,10,0.362,113.005,4,0
115354,5FG7Tl93LdH117jEKYl3Cm,Essence (feat. Tems),WizKid,Tems,,2020-10-29,68,248040,0,0.849,0.707,-6.002,0.113,0.0266,8.58e-06,0.618,0,0.602,104.027,4,1
115750,7jIOye2FcVvyqSYaaTq6eR,Hold On,Justin Bieber,,,2021-04-09,8,170813,0,0.658,0.634,-5.797,0.0413,0.0106,0.0,0.132,1,0.29,139.98,4,0
115813,24rs99wjLAzNyaKjrjLxyB,LA CANCIÓN,J Balvin,Bad Bunny,,2021-04-02,22,242573,0,0.756,0.646,-5.795,0.319,0.152,1.81e-05,0.108,7,0.429,176.088,4,1
115831,3DxdtcfxgsC0fxtog45ioV,Azul,J Balvin,,,2021-04-02,18,206373,0,0.842,0.828,-2.495,0.0696,0.101,0.00179,0.0579,6,0.653,94.015,4,0
115861,08zJ68tEpXpcDFoL1YkznY,Morado,J Balvin,,,2021-04-09,13,200667,0,0.881,0.696,-3.838,0.0797,0.136,4.06e-05,0.0927,11,0.781,97.002,4,0
115865,5JbSCkDPKpCsN50M2MIR2W,LA CANCIÓN,J Balvin,Bad Bunny,,2021-04-02,12,242573,0,0.756,0.646,-5.795,0.319,0.152,1.81e-05,0.108,7,0.429,176.088,4,1
115922,4mgzECx7rBtV1QzrmGQ05Z,Morado,J Balvin,,,2021-04-02,5,200667,0,0.881,0.696,-3.838,0.0797,0.136,4.06e-05,0.0927,11,0.781,97.002,4,0
116131,661CAsOnUSYImyPn8PwtfN,Georgia On My Mind (feat. Bix Beiderbecke),Hoagy Carmichael & His Orchestra,Bix Beiderbecke,,1924-01-01,6,189000,0,0.488,0.204,-13.313,0.0447,0.987,0.0954,0.327,10,0.366,104.229,4,1
116216,0uvRif2jlQHeurZMVcgJEa,Packin' Trunk,Lead Belly,,,1928-01-01,0,173267,0,0.612,0.131,-11.294,0.0981,0.973,4.68e-05,0.17,8,0.686,158.729,4,1
116297,0ZBaYkxZLlIl7CVfywmWw2,Happy Holiday,Ray Noble & His Orchestra,,,1936-01-01,2,376360,0,0.331,0.254,-16.276,0.0714,0.916,0.000877,0.73,5,0.257,73.585,4,1
116341,0NVPpPDO9e9D0z4N1uEQep,"Verdi : La forza del destino : Act 3 ""Lorché pifferi e tamburi"" [Chorus, Preziosilla]",Giuseppe Verdi,Gino Marinuzzi,Bruno Erminero,1942-01-01,0,141133,0,0.599,0.284,-14.191,0.327,0.946,0.0136,0.446,4,0.523,106.609,4,1
116414,48wl0Y7YTpjsOGCzrELnUD,"Piano Sonata No. 24 in F-Sharp Major, Op. 78, ""A Thérèse"": II. Allegro vivace",Ludwig van Beethoven,Eugene Istomin,,1946-01-01,0,163187,0,0.467,0.243,-20.582,0.0734,0.991,0.895,0.139,6,0.25,77.379,4,1
116451,0NLaVlxWNWIwQFZTbbIZsw,Four Norwegian Moods: III. Wedding Dance,Igor Stravinsky,New York Philharmonic,,1948-01-01,0,67200,0,0.48,0.495,-9.547,0.0988,0.835,0.00852,0.554,0,0.819,69.148,4,1
116478,1fqhkt7xceNkRLkWGvYY7s,"Le sacre du printemps: Part 2 ""The Sacrifice"", Ritual of the Ancients",Igor Stravinsky,Columbia Symphony Orchestra,,1948-01-01,0,199733,0,0.274,0.0243,-23.318,0.034,0.92,0.94,0.121,0,0.0724,131.454,4,0
116513,365Gq6wZ1Fy8fpXGSWBvLk,Octet for Wind Instruments: II. Tema con variazioni,Igor Stravinsky,,,1948-01-01,0,432493,0,0.311,0.093,-22.519,0.0433,0.988,0.94,0.0638,2,0.0712,80.469,4,1
116594,3W9wnnnkwHBtYbvhdmFR4E,Jara Tham Ja Tu Ae Sawan,Geeta Dutt,,,1950-01-01,4,182867,0,0.571,0.066,-18.602,0.0715,0.993,0.0333,0.133,3,0.446,114.19,4,0
116612,1m2KksXddHYOijmpiOvboo,El recodo,Carlos Di Sarli,,,1951-03-05,16,144699,0,0.595,0.392,-8.219,0.0422,0.918,0.871,0.381,9,0.583,122.143,4,0
116756,3TSyCLvp02tHB3MWRDePEe,The Chase,John Gustavsen,Bill Reeve,Ernie Newton,1954-09-08,4,229600,0,0.591,0.325,-14.724,0.0473,0.735,0.00014,0.0783,4,0.404,89.969,4,0
116777,0sNDJOD3IX1qqCAVK9vTlY,"Partita No. 5 in G Major, BWV 829: II. Allemande",Johann Sebastian Bach,Glenn Gould,,1955-01-01,7,159720,0,0.328,0.316,-18.066,0.0377,0.994,0.902,0.134,2,0.633,95.414,5,1
116795,4BV64MvYKuxoSgg3RcEOkC,Sometimes I'm Happy,The Dave Brubeck Quartet,,,1955-01-01,7,322933,0,0.601,0.414,-11.546,0.0403,0.748,7.64e-06,0.671,0,0.605,90.992,4,0
116893,030z99G9TFWAE5Wq0Q6tcg,I Got A Letter (This Morning),John Lee Hooker,,,1962-01-01,20,164075,0,0.459,0.167,-14.102,0.0401,0.589,0.00187,0.104,5,0.196,181.953,3,1
116916,5SglS2UaMvfJn3PGryxR6d,Todo Acabó,Javier Solís,,,1963-01-01,27,178667,0,0.425,0.155,-15.373,0.0324,0.964,0.0369,0.116,4,0.593,95.221,4,0
116943,0ZpBRUE1IJsJ0T6CP9J1zL,愛某不通叫艱苦,康丁,,,1964-05-10,23,240880,0,0.671,0.303,-21.01,0.0497,0.81,2.11e-05,0.232,9,0.696,113.966,4,0
116945,297XOi6xWce5DcjF6vyeUo,火燒山的故事,康丁,,,1964-05-10,23,152653,0,0.438,0.402,-21.923,0.0581,0.475,0.00328,0.287,2,0.648,124.161,4,0
116956,38DSb5Su64hasFaGOwr7Uo,My Little Drum,Vince Guaraldi Trio,,,1965-01-01,25,189267,0,0.559,0.148,-22.704,0.0437,0.906,0.0485,0.0864,5,0.707,92.298,5,1
117114,1egxY4YFcY2vgMp3FVyR9V,It's Johnny's Birthday - Remastered 2014,George Harrison,,,1970-11-27,34,49427,0,0.367,0.505,-12.299,0.0389,0.823,0.0,0.706,6,0.783,106.825,4,1
117148,27TMzqu46bT7aZC9o5pjB6,You Took All The Rambling Out Of Me - Remastered 12/1991,Jerry Reed,,,1973-12-01,36,133347,0,0.699,0.766,-10.43,0.0314,0.513,0.00419,0.126,7,0.948,101.872,4,1
117203,28ez9yM0sFDOz7fFvs4vdo,Letting Go - Remastered 2014,Wings,,,1975-05-27,36,272493,0,0.531,0.526,-9.095,0.0294,0.251,0.0106,0.294,9,0.706,99.531,4,0
117253,5izQSJ3bfTvrHHV3OZcd0Y,Clamor no deserto,Belchior,,,1977-01-01,36,226208,0,0.517,0.61,-9.172,0.32,0.247,0.0,0.253,9,0.392,63.707,4,1
117354,7p8xmrHdqBYPOyQS5pULRM,Children's Song: No.6,Gary Burton,Chick Corea,,1979-05-25,38,130467,0,0.467,0.14,-23.092,0.0459,0.991,0.968,0.123,4,0.326,94.529,3,0
117364,4RoYXfnJ0HHDPUDAlrXDPa,Touch Me In The Morning,Marlena Shaw,,,1979-06-04,38,360507,0,0.614,0.792,-7.183,0.0772,0.111,0.0,0.444,6,0.761,128.292,4,0
